等级,生命值倍率,攻击力倍率,防御力倍率
1,5.3938,2.0205,1.01
2,6.853,2.3258,1.02
3,8.4647,2.6537,1.03
4,10.229,3.0046,1.04
5,12.1461,3.3786,1.05
6,14.2178,3.7762,1.06
7,16.4432,4.1975,1.07
8,17.6117,4.5808,1.08
9,19.3856,4.981,1.09
10,21.2308,5.3983,1.1
11,24.2643,5.959,1.11
12,27.4209,6.5461,1.12
13,30.7028,7.16,1.13
14,34.3503,7.829,1.14
15,38.137,8.5272,1.15
16,42.0656,9.255,1.16
17,46.7915,10.2446,1.17
18,50.9773,11.2645,1.18
19,56.8076,12.3148,1.19
20,63.409,13.3161,1.2
21,67.8331,14.2668,1.21
22,72.3556,15.2406,1.22
23,76.825,16.2038,1.23
24,81.71,17.1887,1.24
25,86.682,18.1953,1.25
26,91.3639,18.885,1.26
27,96.2716,19.5853,1.27
28,101.3362,20.2961,1.28
29,107.7167,21.0176,1.29
30,114.2019,21.7497,1.3
31,121.0755,22.6176,1.31
32,128.1714,23.5005,1.32
33,135.1653,24.3984,1.33
34,147.751,25.3706,1.34
35,155.7688,26.198,1.35
36,164.1597,27.0376,1.36
37,173.3859,28.3073,1.37
38,183.0623,29.6666,1.38
39,193.103,31.0523,1.39
40,206.1652,32.517,1.4
41,217.3442,33.6934,1.41
42,229.3406,34.8927,1.42
43,241.8605,36.065,1.43
44,255.0661,37.2587,1.44
45,276.3677,38.474,1.45
46,292.2424,39.4155,1.46
47,310.8502,40.8305,1.47
48,330.3164,42.2723,1.48
49,350.7138,43.741,1.49
50,380.552,45.7384,1.5
51,399.4515,47.1142,1.51
52,419.1921,48.5051,1.52
53,439.449,49.9107,1.53
54,460.246,51.331,1.54
55,486.3658,52.6865,1.55
56,510.2633,53.8554,1.56
57,535.8804,55.5145,1.57
58,562.6138,57.3033,1.58
59,590.5701,59.1139,1.59
60,641.6105,61.0905,1.6
61,670.9979,62.7873,1.61
62,705.6073,64.6165,1.62
63,741.2036,66.4642,1.63
64,779.5141,68.7654,1.64
65,820.6463,70.672,1.65
66,855.9787,72.0651,1.66
67,909.2104,75.1862,1.67
68,947.8589,77.2228,1.68
69,986.9057,79.1561,1.69
70,1043.291,81.2398,1.7
71,1083.737,84.9172,1.71
72,1128.565,88.5946,1.72
73,1169.073,92.272,1.73
74,1213.946,95.9494,1.74
75,1274.295,99.6268,1.75
76,1330.861,103.3043,1.76
77,1390.646,106.9817,1.77
78,1451.332,110.6591,1.78
79,1515.229,114.3365,1.79
80,1628.044,118.0139,1.8
81,1701.17,121.6913,1.81
82,1775.529,125.3688,1.82
83,1844.989,129.0462,1.83
84,1922.429,132.7236,1.84
85,2007.215,136.401,1.85
86,2081.891,138.6579,1.86
87,2158.147,141.5942,1.87
88,2236.697,144.796,1.88
89,2319.914,148.023,1.89
90,2449.678,151.5237,1.9
91,2533,155.4489,1.91
92,2618.623,159.6802,1.92
93,2723.601,163.9682,1.93
94,2833.122,169.543,1.94
95,2953.822,173.8133,1.95
96,3063.457,175.2033,1.96
97,3172.212,176.7574,1.97
98,3330.969,189.7693,1.98
99,3436.252,191.4469,1.99
100,3669.873,196.0357,2
101,3780.364,198.7332,2.01
102,3894.206,203.1765,2.02
103,4010.531,207.8644,2.03
104,4104.295,211.7024,2.04
105,4198.996,215.7702,2.05
106,4294.644,219.8379,2.06
107,4391.249,223.9057,2.07
108,4488.82,227.9735,2.08
109,4587.366,232.0412,2.09
110,4686.898,236.109,2.1
111,4787.425,240.1768,2.11
112,4888.958,244.2445,2.12
113,4991.506,248.3123,2.13
114,5095.079,252.38,2.14
115,5199.688,256.4478,2.15
116,5305.343,260.5156,2.16
117,5412.055,264.5833,2.17
118,5519.834,268.6511,2.18
119,5628.69,272.7189,2.19
120,5738.636,276.7866,2.2
121,5849.68,280.8544,2.21
122,5961.835,284.9222,2.22
123,6075.112,288.9899,2.23
124,6189.521,293.0577,2.24
125,6305.075,297.1254,2.25
126,6421.784,301.1932,2.26
127,6539.66,305.261,2.27
128,6658.715,309.3287,2.28
129,6778.96,313.3965,2.29
130,6900.408,317.4643,2.3
131,7023.07,321.532,2.31
132,7146.959,325.5998,2.32
133,7272.087,329.6676,2.33
134,7398.466,333.7353,2.34
135,7526.109,337.8031,2.35
136,7655.029,341.8708,2.36
137,7785.237,345.9386,2.37
138,7916.748,350.0064,2.38
139,8049.574,354.0741,2.39
140,8183.728,358.1419,2.4
141,8319.223,362.2097,2.41
142,8456.074,366.2774,2.42
143,8594.293,370.3452,2.43
144,8733.894,374.413,2.44
145,8874.891,378.4807,2.45
146,9017.298,382.5485,2.46
147,9161.129,386.6162,2.47
148,9306.399,390.684,2.48
149,9453.121,394.7518,2.49
150,9601.311,398.8195,2.5
151,9750.982,402.8873,2.51
152,9902.15,406.9551,2.52
153,10054.83,411.0228,2.53
154,10209.04,415.0906,2.54
155,10364.79,419.1584,2.55
156,10522.09,423.2261,2.56
157,10680.97,427.2939,2.57
158,10841.44,431.3616,2.58
159,11003.51,435.4294,2.59
160,11167.2,439.4972,2.6
161,11332.53,443.5649,2.61
162,11499.52,447.6327,2.62
163,11668.17,451.7005,2.63
164,11838.51,455.7682,2.64
165,12010.56,459.836,2.65
166,12184.32,463.9038,2.66
167,12359.82,467.9715,2.67
168,12537.08,472.0393,2.68
169,12716.11,476.107,2.69
170,12896.93,480.1748,2.7
171,13079.55,484.2426,2.71
172,13264.01,488.3103,2.72
173,13450.31,492.3781,2.73
174,13638.47,496.4459,2.74
175,13828.51,500.5136,2.75
176,14020.45,504.5814,2.76
177,14214.32,508.6492,2.77
178,14410.12,512.7169,2.78
179,14607.88,516.7847,2.79
180,14807.61,520.8524,2.8
181,15009.35,524.9202,2.81
182,15213.1,528.988,2.82
183,15418.89,533.0557,2.83
184,15626.74,537.1235,2.84
185,15836.66,541.1913,2.85
186,16048.69,545.259,2.86
187,16262.83,549.3268,2.87
188,16479.12,553.3946,2.88
189,16697.57,557.4623,2.89
190,16918.2,561.5301,2.9
191,17141.04,565.5978,2.91
192,17366.11,569.6656,2.92
193,17593.43,573.7334,2.93
194,17823.02,577.8011,2.94
195,18054.91,581.8689,2.95
196,18289.12,585.9367,2.96
197,18525.67,590.0044,2.97
198,18764.58,594.0722,2.98
199,19005.89,598.14,2.99
200,19249.6,602.2077,3
